file,validated,source,document_number,major_version__v
/R&D/DK/Doc1_1/fileloc.pdf,true,Migration,1.1,1
/R&D/DK/Doc1_2/fileloc.pdf,true,Migration,1.2,2
/R&D/DK/Doc1_3/fileloc.pdf,true,Migration,1.3,3
/R&D/DK/Doc1_4/fileloc.pdf,true,Migration,1.4,4
/R&D/CH/Doc2_1/fileloc.pdf,false,Migration,2.1,1
/R&D/CH/Doc2_2/fileloc.pdf,false,Migration,2.2,2
/R&D/CH/Doc2_3/fileloc.pdf,false,Migration,2.3,3
/R&D/CH/Doc2_4/fileloc.pdf,true,Migration,2.4,4
/R&D/UK/Doc3_1/fileloc.pdf,false,Migration,3.1,1
/R&D/UK/Doc3_2/fileloc.pdf,true,Migration,3.2,2
/R&D/UK/Doc3_3/fileloc.pdf,false,Migration,3.3,3
/R&D/UK/Doc3_4/fileloc.pdf,true,Migration,3.4,4
/R&D/ES/Doc4_1/fileloc.pdf,false,Migration,4.1,1
/R&D/ES/Doc4_2/fileloc.pdf,true,Migration,4.2,2
/R&D/ES/Doc4_3/fileloc.pdf,false,Migration,4.3,3
/R&D/ES/Doc4_4/fileloc.pdf,false,Migration,4.4,4
/R&D/DE/Doc5_1/fileloc.pdf,true,Migration,5.1,1
/R&D/DE/Doc5_2/fileloc.pdf,false,Migration,5.2,2
/R&D/DE/Doc5_3/fileloc.pdf,true,Migration,5.3,3
/R&D/DE/Doc5_4/fileloc.pdf,true,Migration,5.4,4
/R&D/DK/Doc6_1/fileloc.pdf,true,Migration,6.1,1
/R&D/DK/Doc6_2/fileloc.pdf,true,Migration,6.2,2
/R&D/DK/Doc6_3/fileloc.pdf,false,Migration,6.3,3
/R&D/DK/Doc6_4/fileloc.pdf,true,Migration,6.4,4
/R&D/CH/Doc7_1/fileloc.pdf,false,Migration,7.1,1
/R&D/CH/Doc7_2/fileloc.pdf,true,Migration,7.2,2
/R&D/CH/Doc7_3/fileloc.pdf,false,Migration,7.3,3
/R&D/CH/Doc7_4/fileloc.pdf,true,Migration,7.4,4
/R&D/UK/Doc8_1/fileloc.pdf,false,Migration,8.1,1
/R&D/UK/Doc8_2/fileloc.pdf,false,Migration,8.2,2
/R&D/UK/Doc8_3/fileloc.pdf,false,Migration,8.3,3
/R&D/UK/Doc8_4/fileloc.pdf,true,Migration,8.4,4
/R&D/ES/Doc9_1/fileloc.pdf,false,Migration,9.1,1
/R&D/ES/Doc9_2/fileloc.pdf,true,Migration,9.2,2
/R&D/ES/Doc9_3/fileloc.pdf,false,Migration,9.3,3
/R&D/ES/Doc9_4/fileloc.pdf,true,Migration,9.4,4
/R&D/DE/Doc10_1/fileloc.pdf,true,Migration,10.1,1
/R&D/DE/Doc10_2/fileloc.pdf,false,Migration,10.2,2
/R&D/DE/Doc10_3/fileloc.pdf,false,Migration,10.3,3
/R&D/DE/Doc10_4/fileloc.pdf,true,Migration,10.4,4
/R&D/DK/Doc11_1/fileloc.pdf,false,Migration,11.1,1
/R&D/DK/Doc11_2/fileloc.pdf,true,Migration,11.2,2
/R&D/DK/Doc11_3/fileloc.pdf,true,Migration,11.3,3
/R&D/DK/Doc11_4/fileloc.pdf,true,Migration,11.4,4
/R&D/CH/Doc12_1/fileloc.pdf,true,Migration,12.1,1
/R&D/CH/Doc12_2/fileloc.pdf,true,Migration,12.2,2
/R&D/CH/Doc12_3/fileloc.pdf,true,Migration,12.3,3
/R&D/CH/Doc12_4/fileloc.pdf,true,Migration,12.4,4
/R&D/UK/Doc13_1/fileloc.pdf,false,Migration,13.1,1
/R&D/UK/Doc13_2/fileloc.pdf,false,Migration,13.2,2
/R&D/UK/Doc13_3/fileloc.pdf,true,Migration,13.3,3
/R&D/UK/Doc13_4/fileloc.pdf,false,Migration,13.4,4
/R&D/ES/Doc14_1/fileloc.pdf,false,Migration,14.1,1
/R&D/ES/Doc14_2/fileloc.pdf,false,Migration,14.2,2
/R&D/ES/Doc14_3/fileloc.pdf,false,Migration,14.3,3
/R&D/ES/Doc14_4/fileloc.pdf,false,Migration,14.4,4
/R&D/DE/Doc15_1/fileloc.pdf,true,Migration,15.1,1
/R&D/DE/Doc15_2/fileloc.pdf,false,Migration,15.2,2
/R&D/DE/Doc15_3/fileloc.pdf,false,Migration,15.3,3
/R&D/DE/Doc15_4/fileloc.pdf,false,Migration,15.4,4
/R&D/DK/Doc16_1/fileloc.pdf,true,Migration,16.1,1
/R&D/DK/Doc16_2/fileloc.pdf,false,Migration,16.2,2
/R&D/DK/Doc16_3/fileloc.pdf,true,Migration,16.3,3
/R&D/DK/Doc16_4/fileloc.pdf,true,Migration,16.4,4
/R&D/CH/Doc17_1/fileloc.pdf,true,Migration,17.1,1
/R&D/CH/Doc17_2/fileloc.pdf,true,Migration,17.2,2
/R&D/CH/Doc17_3/fileloc.pdf,false,Migration,17.3,3
/R&D/CH/Doc17_4/fileloc.pdf,true,Migration,17.4,4
/R&D/UK/Doc18_1/fileloc.pdf,true,Migration,18.1,1
/R&D/UK/Doc18_2/fileloc.pdf,true,Migration,18.2,2
/R&D/UK/Doc18_3/fileloc.pdf,false,Migration,18.3,3
/R&D/UK/Doc18_4/fileloc.pdf,true,Migration,18.4,4
/R&D/ES/Doc19_1/fileloc.pdf,false,Migration,19.1,1
/R&D/ES/Doc19_2/fileloc.pdf,false,Migration,19.2,2
/R&D/ES/Doc19_3/fileloc.pdf,true,Migration,19.3,3
/R&D/ES/Doc19_4/fileloc.pdf,true,Migration,19.4,4
/R&D/DE/Doc20_1/fileloc.pdf,false,Migration,20.1,1
/R&D/DE/Doc20_2/fileloc.pdf,false,Migration,20.2,2
/R&D/DE/Doc20_3/fileloc.pdf,false,Migration,20.3,3
/R&D/DE/Doc20_4/fileloc.pdf,true,Migration,20.4,4
/R&D/DK/Doc21_1/fileloc.pdf,true,Migration,21.1,1
/R&D/DK/Doc21_2/fileloc.pdf,false,Migration,21.2,2
/R&D/DK/Doc21_3/fileloc.pdf,true,Migration,21.3,3
/R&D/DK/Doc21_4/fileloc.pdf,true,Migration,21.4,4
/R&D/CH/Doc22_1/fileloc.pdf,false,Migration,22.1,1
/R&D/CH/Doc22_2/fileloc.pdf,true,Migration,22.2,2
/R&D/CH/Doc22_3/fileloc.pdf,true,Migration,22.3,3
/R&D/CH/Doc22_4/fileloc.pdf,false,Migration,22.4,4
/R&D/UK/Doc23_1/fileloc.pdf,true,Migration,23.1,1
/R&D/UK/Doc23_2/fileloc.pdf,true,Migration,23.2,2
/R&D/UK/Doc23_3/fileloc.pdf,false,Migration,23.3,3
/R&D/UK/Doc23_4/fileloc.pdf,false,Migration,23.4,4
